,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,Unnamed: 12
0,0.0,2470.0,2GQ,Cavok Air LLC,13269,MGA,"Managua, Nicaragua",14691,SBD,"San Bernardino, CA",2021,1,
1,0.0,2077.0,2GQ,Cavok Air LLC,13269,MGA,"Managua, Nicaragua",14512,RFD,"Rockford, IL",2021,1,
2,0.0,2470.0,2GQ,Cavok Air LLC,14691,SBD,"San Bernardino, CA",13269,MGA,"Managua, Nicaragua",2021,1,
3,0.0,3457.0,KL,Klm Royal Dutch Airlines,10721,BOS,"Boston, MA",10292,AMS,"Amsterdam, Netherlands",2021,1,
4,0.0,4120.0,KL,Klm Royal Dutch Airlines,13930,ORD,"Chicago, IL",10292,AMS,"Amsterdam, Netherlands",2021,1,
5,0.0,3457.0,KL,Klm Royal Dutch Airlines,10292,AMS,"Amsterdam, Netherlands",10721,BOS,"Boston, MA",2021,1,
6,0.0,4120.0,KL,Klm Royal Dutch Airlines,10292,AMS,"Amsterdam, Netherlands",13930,ORD,"Chicago, IL",2021,1,
7,0.0,6828.0,MF,"Xiamen Airlines Co., Ltd.",12892,LAX,"Los Angeles, CA",11724,FOC,"Fuzhou, China",2021,1,
8,0.0,6964.0,MF,"Xiamen Airlines Co., Ltd.",12892,LAX,"Los Angeles, CA",15917,XMN,"Xiamen, China",2021,1,
9,0.0,6828.0,MF,"Xiamen Airlines Co., Ltd.",11724,FOC,"Fuzhou, China",12892,LAX,"Los Angeles, CA",2021,1,
10,0.0,6964.0,MF,"Xiamen Airlines Co., Ltd.",15917,XMN,"Xiamen, China",12892,LAX,"Los Angeles, CA",2021,1,
11,0.0,4633.0,MP,Martinair Holland N.V.,13303,MIA,"Miami, FL",10292,AMS,"Amsterdam, Netherlands",2021,1,
12,0.0,1506.0,MP,Martinair Holland N.V.,13303,MIA,"Miami, FL",10711,BOG,"Bogota, Colombia",2021,1,
13,0.0,1017.0,MP,Martinair Holland N.V.,13303,MIA,"Miami, FL",12010,GUA,"Guatemala City, Guatemala",2021,1,
14,0.0,1787.0,MP,Martinair Holland N.V.,13303,MIA,"Miami, FL",15455,UIO,"Quito, Ecuador",2021,1,
15,0.0,4120.0,MP,Martinair Holland N.V.,13930,ORD,"Chicago, IL",10292,AMS,"Amsterdam, Netherlands",2021,1,
16,0.0,4633.0,MP,Martinair Holland N.V.,10292,AMS,"Amsterdam, Netherlands",13303,MIA,"Miami, FL",2021,1,
17,0.0,4120.0,MP,Martinair Holland N.V.,10292,AMS,"Amsterdam, Netherlands",13930,ORD,"Chicago, IL",2021,1,
18,0.0,4118.0,MP,Martinair Holland N.V.,14717,SCL,"Santiago, Chile",13303,MIA,"Miami, FL",2021,1,
19,0.0,1506.0,MP,Martinair Holland N.V.,10711,BOG,"Bogota, Colombia",13303,MIA,"Miami, FL",2021,1,
20,0.0,1787.0,MP,Martinair Holland N.V.,15455,UIO,"Quito, Ecuador",13303,MIA,"Miami, FL",2021,1,
21,0.0,6274.0,JL,Japan Air Lines Co. Ltd.,13930,ORD,"Chicago, IL",13744,NRT,"Tokyo, Japan",2021,1,
22,0.0,6427.0,JL,Japan Air Lines Co. Ltd.,11298,DFW,"Dallas/Fort Worth, TX",13744,NRT,"Tokyo, Japan",2021,1,
23,0.0,5451.0,JL,Japan Air Lines Co. Ltd.,13744,NRT,"Tokyo, Japan",12892,LAX,"Los Angeles, CA",2021,1,
24,0.0,6274.0,JL,Japan Air Lines Co. Ltd.,13744,NRT,"Tokyo, Japan",13930,ORD,"Chicago, IL",2021,1,
25,0.0,6427.0,JL,Japan Air Lines Co. Ltd.,13744,NRT,"Tokyo, Japan",11298,DFW,"Dallas/Fort Worth, TX",2021,1,
26,0.0,1506.0,DHQ,DHL Aero Expresso,10711,BOG,"Bogota, Colombia",13303,MIA,"Miami, FL",2021,1,
27,0.0,1017.0,DHQ,DHL Aero Expresso,12010,GUA,"Guatemala City, Guatemala",13303,MIA,"Miami, FL",2021,1,
28,0.0,1506.0,DHQ,DHL Aero Expresso,13303,MIA,"Miami, FL",10711,BOG,"Bogota, Colombia",2021,1,
29,0.0,1017.0,DHQ,DHL Aero Expresso,13303,MIA,"Miami, FL",12010,GUA,"Guatemala City, Guatemala",2021,1,
30,0.0,1152.0,DHQ,DHL Aero Expresso,13303,MIA,"Miami, FL",14286,PTY,"Panama City, Panama",2021,1,
31,0.0,1117.0,DHQ,DHL Aero Expresso,13303,MIA,"Miami, FL",14838,SJO,"San Jose, Costa Rica",2021,1,
32,0.0,1152.0,DHQ,DHL Aero Expresso,14286,PTY,"Panama City, Panama",13303,MIA,"Miami, FL",2021,1,
33,0.0,1023.0,DHQ,DHL Aero Expresso,14677,SAL,"San Salvador, El Salvador",13303,MIA,"Miami, FL",2021,1,
34,0.0,866.0,DHQ,DHL Aero Expresso,14681,SAP,"San Pedro Sula, Honduras",13303,MIA,"Miami, FL",2021,1,
35,0.0,1117.0,DHQ,DHL Aero Expresso,14838,SJO,"San Jose, Costa Rica",13303,MIA,"Miami, FL",2021,1,
36,0.0,4072.0,JJ,Transportes Aeros Meridiona,11988,GRU,"Sao Paulo, Brazil",13303,MIA,"Miami, FL",2021,1,
37,0.0,4024.0,JJ,Transportes Aeros Meridiona,13303,MIA,"Miami, FL",15567,VCP,"Sao Paulo, Brazil",2021,1,
38,0.0,4072.0,JJ,Transportes Aeros Meridiona,13303,MIA,"Miami, FL",11988,GRU,"Sao Paulo, Brazil",2021,1,
39,0.0,4118.0,JJ,Transportes Aeros Meridiona,14717,SCL,"Santiago, Chile",13303,MIA,"Miami, FL",2021,1,
40,0.0,4072.0,JJ,Transportes Aeros Meridiona,11988,GRU,"Sao Paulo, Brazil",13303,MIA,"Miami, FL",2021,1,
41,0.0,3839.0,JJ,Transportes Aeros Meridiona,13303,MIA,"Miami, FL",14496,REC,"Recife, Brazil",2021,1,
42,0.0,4024.0,JJ,Transportes Aeros Meridiona,13303,MIA,"Miami, FL",15567,VCP,"Sao Paulo, Brazil",2021,1,
