,Category,Year,Make,Model
0,Pickup,2020,Toyota,Tacoma Double Cab
1,Coupe,2020,Toyota,GR Supra
2,SUV,2020,Toyota,RAV4 Hybrid
3,SUV,2020,Toyota,Sequoia
4,Sedan,2020,Toyota,Corolla
5,Sedan,2019,Toyota,Camry Hybrid
6,Sedan,2020,Toyota,Camry Hybrid
7,SUV,2020,Toyota,Highlander Hybrid
8,Pickup,2020,Toyota,Tacoma Access Cab
9,Sedan,2020,Toyota,Avalon
10,SUV,2019,Toyota,RAV4
11,Sedan,2019,Toyota,Mirai
12,Sedan,2020,Toyota,Corolla Hybrid
13,Sedan,2020,Toyota,Yaris
14,SUV,2018,Toyota,4Runner
15,SUV,2020,Toyota,Highlander
16,SUV,2020,Toyota,4Runner
17,Hatchback,2020,Toyota,Yaris Hatchback
18,Hatchback,2020,Toyota,Corolla Hatchback
19,SUV,2020,Toyota,RAV4
20,Sedan,2019,Toyota,Avalon
21,Pickup,2019,Toyota,Tacoma Access Cab
22,Hatchback,2019,Toyota,Prius Prime
23,Hatchback,2018,Toyota,Prius Prime
24,Pickup,2020,Toyota,Tundra CrewMax
25,Pickup,2019,Toyota,Tundra Double Cab
26,Sedan,2018,Toyota,Camry Hybrid
27,Hatchback,2017,Toyota,Prius
28,SUV,2018,Toyota,Sequoia
29,Sedan,2018,Toyota,Corolla
30,SUV,2017,Toyota,Highlander Hybrid
31,Sedan,2020,Toyota,Avalon Hybrid
32,Coupe,2020,Toyota,86
33,Hatchback,2020,Toyota,Prius
34,SUV,2020,Toyota,C-HR
35,Coupe,2019,Toyota,86
36,SUV,2019,Toyota,C-HR
37,Sedan,2019,Toyota,Avalon Hybrid
38,Hatchback,2019,Toyota,Prius
39,Van/Minivan,2019,Toyota,Sienna
40,SUV,2019,Toyota,Highlander Hybrid
41,Sedan,2019,Toyota,Yaris
42,Hatchback,2018,Toyota,Yaris
43,Hatchback,2017,Toyota,Prius Prime
44,SUV,2018,Toyota,Highlander Hybrid
45,Hatchback,2018,Toyota,Prius
46,Sedan,2018,Toyota,Yaris iA
47,Wagon,2017,Toyota,Prius v
48,Hatchback,2018,Toyota,Prius c
49,SUV,2017,Toyota,Land Cruiser
50,Pickup,2017,Toyota,Tacoma Access Cab
51,Sedan,2020,Toyota,Camry
52,Hatchback,2020,Toyota,Prius Prime
53,SUV,2020,Toyota,Land Cruiser
54,Van/Minivan,2020,Toyota,Sienna
55,Sedan,2019,Toyota,Corolla
56,SUV,2019,Toyota,Highlander
57,Pickup,2019,Toyota,Tacoma Double Cab
58,Sedan,2019,Toyota,Camry
59,SUV,2018,Toyota,C-HR
60,Sedan,2018,Toyota,Camry
61,SUV,2019,Toyota,Sequoia
62,SUV,2017,Toyota,Highlander
63,Sedan,2017,Toyota,Mirai
64,Pickup,2018,Toyota,Tacoma Access Cab
65,Pickup,2018,Toyota,Tundra CrewMax
66,SUV,2017,Toyota,4Runner
67,SUV,2017,Toyota,Sequoia
68,Coupe,2017,Toyota,86
69,SUV,2018,Toyota,RAV4 Hybrid
70,Pickup,2017,Toyota,Tundra CrewMax
71,Hatchback,2019,Toyota,Prius c
72,Pickup,2020,Toyota,Tundra Double Cab
73,Hatchback,2019,Toyota,Corolla Hatchback
74,Sedan,2018,Toyota,Avalon
75,SUV,2019,Toyota,4Runner
76,Sedan,2018,Toyota,Mirai
77,SUV,2019,Toyota,RAV4 Hybrid
78,Sedan,2018,Toyota,Avalon Hybrid
79,SUV,2017,Toyota,RAV4 Hybrid
80,Sedan,2017,Toyota,Corolla
81,Sedan,2017,Toyota,Avalon Hybrid
82,Sedan,2017,Toyota,Avalon
83,Pickup,2018,Toyota,Tundra Double Cab
84,Hatchback,2017,Toyota,Corolla iM
85,Van/Minivan,2017,Toyota,Sienna
86,Pickup,2017,Toyota,Tundra Double Cab
87,SUV,2019,Toyota,Land Cruiser
88,Coupe,2018,Toyota,86
89,Pickup,2019,Toyota,Tundra CrewMax
90,SUV,2018,Toyota,Highlander
91,SUV,2018,Toyota,Land Cruiser
92,Van/Minivan,2018,Toyota,Sienna
93,SUV,2018,Toyota,RAV4
94,Pickup,2018,Toyota,Tacoma Double Cab
95,Sedan,2017,Toyota,Camry Hybrid
96,Pickup,2017,Toyota,Tacoma Double Cab
97,SUV,2017,Toyota,RAV4
98,Sedan,2017,Toyota,Camry
99,Hatchback,2018,Toyota,Corolla iM
100,Hatchback,2017,Toyota,Prius c
101,Pickup,2017,Toyota,Tundra Regular Cab
102,SUV,2016,Toyota,Sequoia
103,Sedan,2016,Toyota,Mirai
104,Hatchback,2016,Toyota,Prius
105,Sedan,2016,Toyota,Corolla
106,SUV,2016,Toyota,RAV4
